timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2026-02-26 10:19:05,"$68,029.06",$1.36T,$55.17B,19.99M BTC,4.49% (24h),,
2026-02-26 10:20:10,"$68,066.82",$1.36T,$55.02B,19.99M BTC,4.58% (24h),,
2026-02-26 03:50:33,"$68,088.52",$1.36T,$55.33B,19.99M BTC,4.05% (24h),,
2026-02-26 04:32:13,"$68,253.82",$1.36T,$55.24B,19.99M BTC,4.2% (24h),,
2026-02-26 05:29:30,"$68,355.26",$1.36T,$56.11B,19.99M BTC,4.53% (24h),,
2026-02-26 06:13:44,"$68,337.79",$1.36T,$56.37B,19.99M BTC,4.62% (24h),,
2026-02-26 06:57:42,"$68,014.45",$1.35T,$56.58B,19.99M BTC,4% (24h),,
2026-02-26 07:54:02,"$68,176.85",$1.36T,$56.02B,19.99M BTC,2.98% (24h),,
2026-02-26 09:06:11,"$67,817.08",$1.35T,$53.32B,19.99M BTC,2.23% (24h),,
2026-02-26 10:02:05,"$67,574.57",$1.35T,$53.05B,19.99M BTC,0.64% (24h),,
2026-02-26 11:04:16,"$67,354.62",$1.34T,$53.89B,19.99M BTC,0.16% (24h),,
2026-02-26 12:14:27,"$66,918.85",$1.33T,$52.42B,19.99M BTC,2.34% (24h),,
2026-02-26 13:07:07,"$66,756.02",$1.33T,$50.8B,19.99M BTC,2.64% (24h),,
2026-02-26 14:08:47,"$67,562.72",$1.35T,$49.15B,19.99M BTC,2.23% (24h),,
2026-02-26 14:53:53,"$67,544.94",$1.35T,$48.79B,19.99M BTC,2.15% (24h),,
2026-02-26 15:28:18,"$67,624.89",$1.35T,$48.73B,19.99M BTC,1.76% (24h),,
2026-02-26 16:03:17,"$67,410.96",$1.34T,$48.26B,19.99M BTC,2.6% (24h),,
2026-02-26 16:43:44,"$67,424.37",$1.34T,$47.14B,19.99M BTC,2.67% (24h),,
2026-02-26 17:04:40,"$67,460.42",$1.34T,$45.68B,19.99M BTC,2.29% (24h),,
2026-02-26 17:50:10,"$67,624.01",$1.35T,$44.94B,19.99M BTC,1.23% (24h),,
2026-02-26 18:18:01,"$67,468.10",$1.34T,$44.04B,19.99M BTC,1.42% (24h),,
2026-02-26 18:49:11,"$67,486.18",$1.34T,$43.06B,19.99M BTC,0.4% (24h),,
2026-02-26 19:04:12,"$67,442.82",$1.34T,$42.79B,19.99M BTC,0.67% (24h),,
2026-02-26 21:50:48,"$67,446.57",$1.34T,$41.44B,19.99M BTC,1.02% (24h),,
2026-02-26 23:30:02,"$67,950.67",$1.35T,$41.51B,19.99M BTC,0.95% (24h),,
2026-02-27 00:36:26,"$67,836.30",$1.35T,$41.86B,19.99M BTC,0.81% (24h),,
2026-02-27 01:30:59,"$67,685.87",$1.35T,$40.77B,19.99M BTC,0.85% (24h),,
2026-02-27 02:29:53,"$67,528.71",$1.35T,$41.03B,19.99M BTC,0.98% (24h),,
2026-02-27 03:03:50,"$67,706.94",$1.35T,$41.28B,19.99M BTC,0.19% (24h),,
2026-02-27 03:58:13,"$67,982.33",$1.35T,$40.93B,19.99M BTC,0.01% (24h),,
2026-02-27 04:35:07,"$67,995.38",$1.35T,$41.74B,19.99M BTC,0.44% (24h),,
2026-02-27 05:10:54,"$67,221.84",$1.34T,$41.36B,19.99M BTC,2.04% (24h),,
